Fecha;SKU 1;SKU 2;SKU 3;SKU 4;SKU 5;SKU 6;SKU 7;SKU 8;SKU 9;SKU 10;SKU 11;SKU 12;SKU 13;SKU 14;SKU 15;SKU 16;SKU 17;SKU 18;SKU 19;SKU 20;SKU 21;SKU 22;SKU 23;SKU 24;SKU 25;SKU 26;SKU 27;SKU 28;SKU 29;SKU 30
01/08/2018;2.05;2283.16;32.22;116.38;0.17;0.76;7.91;0.43;403.69;344.71;86.22;0.91;76.46;18.06;179.21;26.64;188.42;64.24;23.71;62.59;0.36;108.02;772.34;54.20;55.19;10.76;9.03;768.51;1749.87;1074.06
01/09/2018;0.27;2692.30;34.69;-25.73;0.26;76.12;3.66;0.77;-71.00;147.73;147.44;-0.09;131.67;21.62;99.18;11.48;139.78;47.08;36.40;88.68;0.27;72.70;1014.70;59.22;113.23;17.52;17.61;547.32;2049.90;1290.75
01/10/2018;1.14;2114.56;29.26;101.24;0.34;33.36;4.77;1.28;106.92;123.91;140.77;0.73;134.23;24.45;115.52;9.94;239.70;47.44;39.96;127.82;0.18;100.89;707.48;5.66;-2.11;15.33;6.93;747.58;1612.49;1011.58
01/11/2018;2.01;3084.12;99.50;379.53;0.00;54.73;13.10;0.59;229.85;186.70;336.94;0.46;135.24;24.36;176.91;22.42;244.06;77.46;60.75;170.69;0.73;241.31;1231.68;125.46;132.38;23.08;8.76;2097.71;2869.25;1890.62
01/12/2018;1.05;4352.07;131.20;546.11;0.00;81.28;50.75;1.78;1299.64;478.32;350.32;3.83;179.85;66.68;364.64;81.08;380.69;138.97;107.64;109.86;1.09;257.43;1575.78;107.21;440.36;45.06;18.51;3134.86;4294.08;2457.14
01/01/2019;0.90;891.15;57.67;130.28;0.00;46.59;5.38;0.17;322.30;92.25;129.57;15.15;173.86;41.39;51.85;11.62;245.28;52.30;48.58;61.23;0.63;99.80;772.97;126.79;-124.29;6.57;22.45;748.77;1811.91;1049.74
01/02/2019;1.08;1816.21;21.34;119.67;0.00;74.37;4.37;1.26;374.42;178.56;143.63;2.16;300.03;16.68;95.68;12.61;242.76;66.46;76.99;91.35;3.52;122.27;1045.51;111.64;171.24;30.65;14.70;1324.47;1588.18;778.30
01/03/2019;2.89;2193.03;11.04;26.91;0.00;59.82;1.68;0.84;-77.72;147.45;150.94;0.27;257.64;31.02;-15.38;4.68;260.80;53.30;85.83;182.25;0.27;165.92;1394.33;91.62;148.71;6.67;10.73;250.38;1635.36;914.92
01/04/2019;0.95;2934.27;18.45;128.92;0.00;31.78;2.44;0.59;166.10;91.35;131.72;0.36;132.83;14.70;32.02;10.27;236.25;62.68;65.10;64.30;1.17;68.54;1028.02;129.58;-41.02;6.58;5.23;480.05;1294.45;841.81
01/05/2019;0.27;2458.94;10.46;35.63;0.08;19.01;14.98;0.59;237.79;205.51;183.04;2.98;200.57;14.07;216.24;5.94;175.84;111.19;46.44;84.41;0.27;173.95;801.95;36.70;162.23;4.68;4.95;605.95;1622.24;588.56
01/06/2019;0.54;2283.05;12.80;25.64;0.00;23.63;9.42;0.25;-18.92;320.41;184.66;0.00;32.46;12.26;89.36;8.74;199.37;36.69;30.92;138.50;0.00;120.92;599.61;59.25;153.02;7.03;9.91;372.92;1401.48;743.58
01/07/2019;0.81;3339.39;18.69;180.92;0.00;67.64;4.54;0.42;516.82;97.75;103.42;6.85;177.82;18.12;92.33;7.03;242.85;84.68;27.86;100.72;0.36;206.23;1324.21;89.19;-26.09;9.56;15.96;705.49;1800.00;1152.77
01/08/2019;1.08;2908.54;50.12;146.64;0.00;53.08;14.14;0.42;374.14;184.41;147.87;0.00;56.28;22.90;172.78;8.82;266.29;124.35;52.02;44.81;0.00;103.06;1240.49;63.48;51.21;7.66;7.84;746.24;1405.32;756.20
01/09/2019;0.45;2409.79;26.39;73.63;0.00;45.60;17.08;0.51;260.78;185.95;150.57;-0.27;150.23;21.46;105.59;4.96;171.52;31.56;36.69;51.22;0.00;36.23;986.38;10.64;37.60;11.27;10.10;383.03;1638.36;627.30
01/10/2019;0.54;2008.78;16.21;95.56;0.00;21.36;24.91;0.42;225.63;201.99;137.76;10.91;150.60;13.52;90.26;49.27;191.81;49.23;55.71;73.04;0.09;54.62;765.98;17.76;96.65;17.94;6.94;887.41;1821.83;977.19
01/11/2019;0.77;2861.95;52.65;440.87;0.00;37.58;8.16;0.92;257.91;277.56;281.49;7.21;79.64;34.35;281.80;19.01;290.09;49.32;70.41;89.34;0.00;234.41;883.66;43.28;134.72;23.07;16.58;2222.41;2656.60;1578.12
01/12/2019;0.00;6602.77;147.45;613.46;0.00;73.15;21.20;0.50;1085.21;437.08;361.90;18.85;162.33;10.46;312.74;25.22;510.76;137.88;56.36;181.69;0.09;276.69;1889.43;198.93;208.66;49.03;32.99;2694.11;3372.44;1852.64
